content,score
sangat membantu,5
"pesanan di batalkan, dan uang refund saya belum kembali sampai lebih dari 3 hari lewat mandiri",1
mantap,5
mantap,5
"proses penarikan dana sangat susah, sama sekali tidak ada respon cs, sangat menyesal menggunakan toko pedia, untuk semua nya lebih baik menggunakan aplikasi orange",1
no comment..,5
baik,5
terbaik,5
aplikasi nya lebih bagus dari shopee tapi biaya pengiriman nya mahal,2
semoga kedepannya sukses terus👍,3
"Kalau harga mahal bisa beli, ketika harga murah langsung aja error",1
"mudah, murah",5
ok,5
begitu ada diskon langsung ngebug,1
tokokopetiah nya mantap 🤣👍,5
ribet dan bertele - tele dalam komplain,1
sekali 2 Minggu update,5
ok banget,5
kok susah amat masuk aplikasinya,4
"pengembalian saldo belum di refund, padahal peraturannya kalau refund ke gopay hanya 1x24 sehari, tapi ini sudah lebih dari sehari. tolong, saya hanya ingin uang saya kembali 🙏🏻",1
"ngebug mulu si, mau mesen kga bisa' gua",5
oke,5
tingkat kan bonus y ....,5
wow,5
dapat kupon terus setiap hari.. belanja online,5
"jangan pakai aplikasi ini sekarang, jelek banget pelayanannya buruk! lama nunggunya customer servicenya gak berguna gak bisa ngapa ngapain, pesanan produk aja ga bisa ngurus cuma dibuat muter-muter mending pakai aplikasi Shopee aja atau lazada apa yang lainnya yang fokus buat jualan yang, gak kaya Tokopedia jelek banget apalagi sejak kerjasama dengan tiktok jadi lebih parah aplikasinya kaya orang tlol yang mau di buat muter-muter.(UNINSTALL TOKOPEDIA PINDAH KE YANG LAIN!!!)",1
good experience!👍,5
mantap,5
"Gak perlu ribet, sangat cepat",5
blm. pernah beli,4
Murah & semoga makin murah lagi,5
"ongkirnya bos, diturunkan",5
Dah males belanja di Tokopedia tiap scroll klik barang pas back malah kembali ke awal atas trs aja kaya gt n berat lagi.. Jd ribet,2
MULAI SEKARANG UNINSTAL MAU BERHENTI JUALAN DISINI.. KARNA PEMBAYARAN TOKOPEDIA HARUS NUNGGU 24 JAM X 7. 7 HARI BARU SALDO MASUK. SEOLA OLAH HASIL JUALAN KITA JADI SAHAM DITOKOPEDIA SELLER..BURUK SEKALI..DAN TERLALU BANYAK BIAYA PENANGANAN BIAYA INI.ITU ..JADI HAMPIR 8000 HASIL PENJUALAN DIPOTONG🤦PARAH..,1
👎,1
Oke. Sangat Membantu disaat sedang kebutuhan yang Urgent,5
sangat bngus,5
"BURUK, paket lama datang nya, sudah seminggu lebih paket tidak datang dan posisi tidak update alias stuck di situ situ aja. Terus di telpon ga jelas sama seseorang dengan mengatasnamakan KURIR padahal paket belum tiba di Kota Tujuan. Sangat sangat jelas sekali modus penipuan nya. Hati hati untuk semua yang pesan di aplikasi ini. Baru kali ini saya belanja online di telpon pakai no handphone biasa mengatasnamakan KURIR dan bilang tidak pakai Wa/WhatsApp.",1
"Fayleter""",5
mantap,5
"9 kali orderan pelayanan Tokopedia care buruk, mau claim banyak alasan sampai seminggu tetap beralasan, yg paling parah makanan dan obat ternyata bukan makanan brand malah makanan repack kiloan dan semua over claim dan palsu sampai membanhayakan nyawa orang tua saya.",1
tolong pisahkan tokopedia dengan tiktok sop sekarang juga !!!,1
saya mesan paket ditiktok melalui Tokopedia tapi barang tida sesuai dengan apa yang saya pesan dan tidak ada taggpan saat saya mengajukan pengembalian barang padahal saya bener bener berharap bahwa saya tidak ingin rugi..,1
kepada pihak tokpedia mohon jangan pake jasa cicepat...pihak terkait pasti sudah tau juga kan alasan nya...pesanan hilang kalopun tidak hilang satu bulan baru sampe..,1
baru pasang,5
semenjak kerja sama tiktok jadi penjual itu sangat susah benar benar susah,1
ok,5
KOCAK BARU LOGIN DI KELUARIN MULU ADA MASALAH ADA MASALAH MASALAH APA? BERKALI KALI LOGIN DI KELUARIN MULU,1
aplikasi ini sangat membantu serta memuaskan...pokok nya mantap,5
mantap,5
ok,5
bagus,5
Udah mending uninstal aja aplikasi ini. Kapok saya pake aplikasi ini. Padahal saya sudah sering transaksi pake apliaksi ini. Tapi kalo ini kelewatan. Setelah refund auto uninstal aplikasi. asli parah dari CS SAMPEK SELLER TOLOL SEMUA UDAH MENDING JANGAN BELANJA DI TOKOPEDIA PAAARAASH,1
Tokopedia memenuhi semua ya dibutuhkan pokonys mantap,5
mantap,5
"dulu saya suka banget belanja disini, tapi sekarang jadi beda. kurirnya lambat pick up pesanan, sellernya pada cuek kalau ditanya, CSnya lambat dan gak nyaman., Pesanan jg ada masalah.",1
mantulll dpt harga pulsa 100 rupiah,5
"Aplikasi yang bermanfaat, aman dan mudah digunakan. Hatur nuhun.",5
ok,4
"Alhamdulillah sejauh ini saya memakai Tokopedia aman2 saja, bnyk promo dn potongan harganya. Barang terjamin keasliannya dn keadaannya, kalaupun retur cukup mudah prosesnya",5
tunggakan paylater tokopedia mahal bro lebih baik jangan download,1
mantap,5
ok semoga berkah,5
"diskon nya gede sih, tapi jelek nya paket ku gagal dikirim",3
"jadi tambah rusak Tokopedia kerja sama dengan NinjaXpress. Pesanan saya tanggal 22 September 2025 sampai sekarang tanggal 13 Oktober 2025 belum juga dikirim. Update pengiriman ga jelas, complain sempat ditolak, saya ajukan complain lagi. sampai sekarang ga direspon. Penjahat Lo semua !!!!",1
terlalu sering ada permintaan update,1
mantap dulimgo,5
"sering di telpon misterius, buruk sekali pelayanannya",1
"Paket estimasi datang tgl 5-6 mei 2025 sudah telat, tiba2 ditambah lagi estimasinya jadi 7-13 mei 2025, parah sekali ini tokopedia",5
"lama lama rusak ni Tokopedia , penarikan dana lama bgt , mending beralih ke toko Oren dah , ampun dah Tokopedia",1
"masalah top up emoney 100.000 keatas error update saldo, saldo ga nambah uang ga bisa balik karena udah di TF trus uang nya kemana jir",1
sedikit masukan aja. tolong di kasih fitur pemilihan ekspedisinya. beberapa jasa ekspedisi kadang lambat penangannannya. jadi kita bisa pilih penyedia ekspedisi yang mumpuni di daerah kita,3
mau redeem gift card susah amat anjg,1
"sudah sulit bertahan, dulu suka pake ijo skrg jujur sya lebih puas dengan orange ,mhon maaf sebelumnya terima kasih🙏",1
"Gara gara Expedisi JNE aku kasih bintang 1 Tidak ada tindakan buat JNE yang selalu lambat dalam pengiriman, minimal teguran lah atau putus kontrak dengan mereka. Beli barang online selalu telat dan bermasalah kalau dianter JNE",1
kecewa dan sangat kecewa saya berblnja di Tokopedia. saya bikin pengajuan dan pngduan responnya gitu_gitu aja.,1
mantap,5
mantap,5
mantap murah dan original,5
"respon Tokopedia sekarang kok lemot banget, sering gangguan. kok lemot banget. buka halaman aja gak ada foto nya. dan pokok nya lambat.",1
masa saya download gk bisa 😵‍💫,3
😎,5
Sekarang susah bgt hubungi/chat dengan penjual..bikin aplikasi ko ribet bgt..makin kesini ko jadi makin kesana.. malah mundur. padahal saya GOLD member..,1
sya suplayer batu bata merah ikut gabung buat pengiriman,5
senang sekali,5
bikin stress gara² pencarian ngaco,1
biaya admin 10persen dari omzet penjualan kotor itu sangat tidak manusiawi... untung udah gak seberapa di babat sama biaya admin..,1
"pelayanan CS makin jelek, mulai banyak toko penipuan dn penanganan masalah lama. respon CS nya pun maikin memburuk",1
heran di Tokopedia ini terlalu banyak pedang penipu nya ya. dan seperti sengaja di biarkan oleh tokped. mohon saran setiap selesai pengantaran tolong tombol selesainya jngn terpampang paling utama di di depan karna kita blm jelas liat barangnya keburu terpencet tombol selesai pengantaran pdhal barang yg di kirim sampah alias toko penipuan. dan utk tombol komplain di buat jngn sulit di akses!! sehingga memudahkan kita utk komplain. PRANTAS PEDANGAN2 PENIPU SUDAH TERLALU MERESAHKAN DI APLIKASI ini,1
"aplikasi mau cek out aja lemot, ga jadi beli, aturan beli kesini jadi beli ke orenge,,,",1
"banyak toko tipu"" ,,, di retur susah skali di tokopedia ini.. uang blum kembali smpai skrg..",1
Jelek ga bisa pesan barang pakai gratis ongkir,1
bagus cepat tanggap,4
bagus,5
mntap,4
🙏❤️👍 TOP MARKOTOP dweeeeh 👌❤️🙏,5
semenjak gabung toktik ini tokped jadi gajelas ..apa2 lambat jadi males make ini aplikasi.....sebelum gabung toktik pengiriman lancar aja ....sekarang lambat bener ..apalagi klo expedisi nya dari ninja ...makin lama ...ga kaya J&T gercep....klo barang gw sampe sore ga Dateng juga gw uninstal ini aplikasi sampah ...,1
notifnya ganggu,1
Makasih Tokopedia dan semua tim dari Tokopedia kalian the best 🙏🏻🔥,5
minta di updated trus tiap buka app ngabisin data ajh bisa malah gagal trus ujung nya,5
"pantas harga barang"" di toped lebih ""MAHAL"" krna potong untuk toped dari hasil penjual nya gede bgt, gmna UMKM mau maju wong sma toped nya di peres,",1
membantu,5
saya gak bisa mengajukan komplain sudah dipencet tombol ajukan complain tapi terus loading tidak selesai2,1
cs gak jelas pengembalian barang gk ada kejelasana,1
"I'M SO SICK OF THIS, DAMN IT. THIS APPLICATION IS A SCAM. IT SAID I COULD BUY WDP ML (Weekly Diamond Pass Mobile Legends) WITH A DISCOUNT USING A VOUCHER CODE, BUT WHERE IS IT? EVERY TIME I TRY TO PAY, THE MONEY IS ALWAYS RETURNED, IT ALWAYS FAILS, UNTIL I KEPT TRYING AND FINALLY THE PROMO CODE QUOTA RAN OUT. THIS APPLICATION IS HILARIOUSLY SCAMMY.",1
"barang rusak karna pengiriman gk bagus, gk bisa di refund, mending beli online barang yg jgn pecah belah gk bisa di refund",1
mantappp,5
"metode pembayaran lain tidak bisa digunakan ,dana refund tidak bisa dipakai ,jadi ngejogrog bae",3
bagus.,5
"tolong dong lebih seleksi lagi dalam memasukkan penjual ke aplikasi ini saya kena tipu disini hp, sampe sekarang ga Dateng Dateng Nama toko nya Spade Clouser emang toko anj tolong dong tindaknya coba ikutin aplikasi sebelah oyen ga ada nipu selama gw belanja di sana sekali gw belanja disini kena tipu asw emang udah mah ga bisa lapor lagi disini pokoknya ini aplikasi paling ga gw suka selama hidup gw trauma gw",1
akun ya lama ada yg masukin dan tiba pesen barang tanpa sepengantuhan ku. masak akun bisa di masuk akun lain. dan akun langsung ku tutup permanen,2
sering error ngajuin kenaikan limit tokopedia card malah error terus makin kesini makin jelek aplikasi nya error terus,1
aplikasi tolol. tidak ada tombol untuk batalkan pesanan . chat customer service ai mulu yang jawab. ga guna nie aplikasi. nyesel.download,1
"Sellernya semua pemalas, gak ada inisiatif, selalu MENUNGGU KURIR bisa sampai 2 hari. Minimal drop ke yg terdekat kek klo sampai sore gak datang. Klo kaya gitu sih, setelah barang sampai, gak bakal gw tekan selesai, biarin aja system yg selesaikan.",1
aplikasi bagus Tokopedia...,5
"cepat, banyak pilihan",5
membantu dan memudahkan untuk bisa memenuhi kebutuhan sehari2,5
"Aplikasi belanja online terjelek dan terparah saat ini, masa paket mau dihilangkan kurir dengan estimasi tiba ng wajar , nga bisa di ajukan komplen mengikuti kurir tanpa ditinjau terlebihi dahulu, sangat buruk ... harusnya kalo paket telah melewati estimasi tiba dan tertera nga wajar, cs nya bisa dihub dlu bagus makin kesini jelek parah buruk paket harusnya sampe tanggal hari h bisa diundur sampe 6hari",1
tidak adil dalam memberikan diskon,1
utk chat admin susah bner..dan saldo Ter endap tidak bisa di pakai.kurang bgus Tokopedia kalah sama yg lainny,1
tokopedia gak warah blom apa2 udh pelanggaran.mana ongkirnya mahal lagi produknya jg mahal2.mending kalian gak ush instal apk ini dehh biar gak nyesel,1
kerenn,5
"Parah si, saya beli barang estimasi nyampe tgl 10, sampe tgl 13 gk sampai-sampai, udh melebihi batas estimasi, kalo sekali gk pp lah, masa iya ini nyampe berkali-kali, pdhl dihari yg sama checkout di apk sebelah loh, mlhn pake apk sebelah duluan yg sampai pdhl sama"" jauh dri jkt pdhl sama pake kurir jnt, tpi knp yg ditokped lebih lama???. parah si, giliran komplain ribet bgt harus nunggu dulu, investigasinya lamaaa!!!!",1
memuaskan,5
data gua di sebar monyet,1
mendingan beli di toko oren dijamin 100% gak ada nipu barang juga bisa bergaransi,1
Ini sangat berguna buat saya,5
mantap,5
"sudah tidak berpihak lagi sama rakyat kecil,versinya sudah gak suport lagi sama hp saya. setiap mau di buka selalu terhenti. .membagongkan.",1
suka,5
mantaaappp,5
bagusssss,5
ya terima kasih banyak,5
"kurir rekomendasi, tp aslinya sangt tidak direkomendasikan,, LELET terlalu lama TRANSIT, paket dioper sana dioper sini BEDA XPEDISI, . kalau paket HILANG TRACKING NYA JADI SUSAH, HILANG DIXPEDISI APA GAK BISA KETAHUAN KARNA DIPICKUP XPEDISI A, DI ANTER KURIR C BAHKAN BISA 3X HANLDE 1PAKET BEDA XPEDISI CONTOHnya dipickup JNT,. transit digudang JNE, dianter ID XPRESS...",1
ok,5
"ga tau kenapa.. dengan tokopedia sekarang layanan nya sangat buruk.. pesan dari toko kali deres ke serpong sudah 12hari belom tiba juga.. sy komplent tidak ada tanggapan sama sekali admin tokpednya.. sudah jelas di lacak, barang tidak bisa dikirim tpi komplenan sy tdk di proses tdk balikin dana .",1
"pelayanan kirim lama sekali, respon penjual juga tidak ada",1
sumpah yesal gua Makai apk ini pesanan gak ada update pengiriman mending pake shopee responnya cepat klo ada apa cepat terselesaikan klo Tokopedia tidak sesuai sop,1
sangat asli barang nya,5
Alhamdulillah Sangat memudahkan saya dalam segala hal,5
mahal jirr,4
mantap...,5
"Jangan sampai Tokopedia di tinggal pelanggan setia, pdhl aplikasi sebelah lbh mudah pengiriman nya ,mohon Agar selektif lagi memilih kurir rekomendasi, apalagi sap express gila itu pengiriman ga transparan status pengiriman nya out going incoming lah,, ga di jelaskan sampe mana nya,, keliatan ga profesional nya,,lamaaaa, ketika di komplen ,ada kurir menghubungi, tapiiii.... salah pula paket yg mau di kirim nya, hadehhh...",2
bagus harga murah dan di tambah dengan banyak nya diskon,5
cpat.. dan praktis,5
estimasi bisa berubah sesuka hati!!! kalo gtu tiap kali paket ga sampe di ulur terus estimasi nya payah!! pesenan dari kapan belum sampe² juga di ulur terus²an udah sampe estimasi pengiriman terus ajaa diulur!!!,1
busuk,1
oke,5
memang mantab belanja disini,4
serba eror,1
"notifikasi update menyebalkan, muncul terus.",1
"Makin kesini makin banyak eror Nyoba instal ulang nunggu lama malah gagal instalasinya deuh,,,, Beda dgn app toko sebelah simple",1
"keren 👍😎😊🙏,,,",5
𝘵𝘰𝘬𝘱𝘦𝘥 𝘴𝘦𝘬𝘢𝘳𝘢𝘯𝘨 𝘬𝘦𝘬 𝘉𝘈𝘉𝘐!!! 𝘭𝘦𝘮𝘰𝘵 𝘣𝘢𝘯𝘨𝘦𝘵 𝘈𝘕𝘑𝘐𝘕𝘎!!! 𝘬𝘦𝘣𝘢𝘯𝘺𝘢𝘬𝘢𝘯 𝘶𝘱𝘥𝘢𝘵𝘦 𝘨𝘢𝘬 𝘫𝘦𝘭𝘢𝘴 𝘒𝘖𝘕𝘛𝘖𝘓!!!,1
"aplikasi tidak rekomendasi , dana kita ditahan minta foto nya dibilang blur",1
"BANYAK BUG, masa harga piring semi melamin 1 lusin 400ribu, ongkos kirim nya 60ribu, busetttt",1
aplikasi error trus,1
diskon dan gratis ongkirnya hilang saat mau check out. buang² waktu pakai aplikasi ini,1
"Marketplace maksa, tidak bisa pilih pengiriman yg di mau, harus menggunakan pengiriman pilihannya sendirii. Kecewaaa dengan rekomendasi pengiriman Tokopediaa..",1
error mulu gagal login sama tiba2 keluar sendiri,3
"Ga cocok buat aq yg ga sabaran 😅, katanya kode Verifikasi udh dikirim nyatanya belum, loading daftar lama bgt",4
aplikasi ini sekarang sudah update besar-besaran apalagi updatenya sangat membantu para calon pembeli plus ternyata banyak voucher promo dan diskon. ya lumayanlah 😎 saya suka aplikasi e-commerce yang satu ini Tokopedia 👍✨,4
trimakasih aplikasinya agar mudah belanja,5
heran kenapa sih kalo mau buka menu pembayaran lainnya selalu gak bisa atau gak suka lama gitu loading nya kita mau beli tapi pengen pake pembayaran lain masa gak bisa benerin tuh sistemnya,1
"dapet voucher 800 rbu dengan cekout 2 barang.. ga ada voucher nya padahal dh cekout 2 barang, malah suruh cekout lagi 2 barang, gimana sih",3
semakin kesini semakin gak jelas...tiba2 dibatalkan refundnya dikembalikan dimana juga gak jelas...di chat lama,2
Semoga lebih ditingkatkan kembali aplikasinya,5
senang belanja,4
mohon diperbaiki,3
baru mencoba,2
min garena kenapa nggak bisa Pepeng shoot,5
"Parah dan hancur sekarang Toped ini. Paket saya tidak sampai2.. Di sistem masih gantung 'Lacak' . Tokopedia Care nya juga lepas tangan gak membantu. Sellernya juga gak memberi response. Kurirnya (Paxel) menggantung 'lacak' disistem. Sudah 2 Minggu. Dulu bisa batalin, sekarang dipaksa urusin sendiri gak ada penengah. Saya hanya membeli dengan jujur, tapi dicewain begini. Jangan beli Toped lagi. Lepas tangan dan masa bodo Customer servicenya / Tokopedia carenya. Sangat berbahaya beli di Tokopedia.",1
ok,5
Suka sekali,5
sistem scam dikasih harga 32.000 dari 92.000 diskonnya udh jelas tapi pas mau pembayaran gw hitung kok totalnya beda gk sesuai diskon padah udh gw unceklis biaya asuransi sama proteksi. gila bgt ngambil untungnya aplikasi GK amanah! voucher diskon berasa kgk ada gunanya soalnya kalo dipake harganya ya emng tetep segitu berarti kgk dpt diskon apa2 sialan,1
buat expedisi sendiri biar lebih terintegrasi dan lebih cepat sampai,3
"note recommended, setelah gabung tok tok 👎",1
oke...,5
Susah dibuka sy posisi.didaerah sini,5
di update malah ngeLAG di menu voucher nya. 🥲,1
"bagus, barang sesuai, berkualitas dengan harga yang terjangkau",5
ok,5
tokped care yang lemot,1
aplikasi mengecewakan dana refund di tarik malah pending trus gimana sih cara kerjanya,3
tidak meriko mendasi lg setelah gabung ama ticktok tambah lelet bnyak toko yang biasa langganan hilang jejak gak bisa di cari lg,1
keren,5
belanja mudah n untung,5
"Pengiriman kebanyakan ""Handover"" nya, kata gw mah udah 1 pihak ajah, ngapain coba di over over tuh paket jadi lama gj bener nih Tokped",1
"saya punya apl tiktok , saya sering belanja melalui tiktok ( toko pedia ) ntah kenapa tiba2 saldo pay later di tiktok saya hilang sedangkankan saya tidak merasa transaksi ini yang ada malah timbul tagihan pinjaman ke saya saya coba hub pihak tokped via wa maupun cs tidak ada tanggapan mohon bantuan penjelasannya....",1
apaan dah temen gua dapet diskon pengguna baru trs setiap 3 hari lah gua kapan njir udh nunggu setengah hari gk ada diskon sama sekali,3
"udah gak seperti dulu, pencarian barang dulu paling bisa diandelin ditokped, sekarang kita masukkan nama barang A yang keluar macem macem",1
pilihan produk banyak dan berkualitas dan juga pakaian ada dan bisa di beli melalui transfer atau COD,5
cepet cepet biar bisa gunain paylater nya,5
"kenapa matanya Tokopedia koq berkaca kaca gitu baik saja kan KA, udah jika masalah jodoh itu udh di atur yang maha kuasa ya ,jika masalah itu tenang saaj aja aku tidak akan pernah libatkan kalian aitu janji aku",5
tiga dulu. kalau bagus sayah tambah in lagi 10,3
super,5
"Lu mah aneh tokped. User setia PLUS malah gk dapet kupon diskon 500rb-1jt di event 10.10 kmarin sedangkan user yg gak prnah blanja & bukan akun PLUS malah dpt kupon diskon tsb. Klo mau nambah user PLUS baru harusnya utamain dulu kupon diskon tsb sm user PLUS lama karna orang yg bukan user PLUS akan berbondong2 daftar PLUS karna kupon tsb cuma eksklusif buat user PLUS. Apalagi skrng langganan PLUS naik jd 150rb/bln dan minimal langganan 3 bln, yg ada malah user setia PLUS gak mau prpanjang lagi.",1
"baru kali ini ada aplikasi ga taat sama peraturannya sendiri, bonus cashback hilang gitu aja padahal S&K 2 bulan maximal setelah itu hangus ini baru 1 bulan sudah hangus",1
titik.,5
mantap,5
sangat membantu app ini...mantab,5
"kagak enak belanja di toped, gak bebas belanja berapa unit di batasi, gak kaya shoppe bebas mau berapa unit juga Selalu di review saldo penjualan lama lagi, penanganan terlalu lama, harus pindah jualan di toko lain ini",1
"gini amat yak hidup di Indonesia, klw belanja 2 item bakal dpt voucher 800rb,udah belanja 2 item,eh voucher nya 800rb di bagi2 dong wkwkwkwk, ga ada penjelasan di s&k, penipuan ga si ini namanya? udah bukan marketing LG ? tobatlah nak",1
udah gak ada promo gede gedean lagi semenjak collab ama tiktok,1
aplikasi tidak bertanggung jawab !!!,1
mudah dan terpercaya,5
sukses disini saya akan beli rumah,5
"aplikasi ampas, tiba di pembayaran selalu loading lama banget, malahan gak kelar kelar loadingnya. mana pelayanan tokopedia care nya lelet banget respon agen chat nya. asli gondok",2
"dapat bonus voucher belanja 800 rb taunya kepecah2, minimum per belanja gede banget nominalnya",1
"ga jelas tokopedia,saya melakukan penarikan dana ko malah dipersulit,dana ditahan. chat ke tokopediacare ga ada balasan. gmn ini solusi nya",1
layanan transaksi dibatasi sudah tak bisa dibuka sudah 5hari sy coba sama saja malah suruh cek akun pdhl barang yg mau di co bnyk bngt giliran mau transaksi pas bka transaksi lainnya eror mulu gk bisa kebuka makin males belanja disini tdk seperti biasanya makin kesini bukannya upgrade malah tmbah gk bagus😌,3
ok juga,5
menonton di snek vidio,5
terlalu ribet nembahan alamat pake peta.,1
"saya tidak ada aplikasi Tokopedia, kenapa ada kode verifikasi dari aplikasi ini?",1
bagus,5
"Woyyy, knpe di update pas pesen brng, toko jd ilang, cek pengiriman gk ada, order slesai jg gk ad riwayat, gmne mau ksh bintang bagus ke tokonye kl Apk ngeBug kye 4mjiiing 😡🤬🤬",1
"CS nya bot slow respon jelek banget, malah mengundang penipu",1
apk yg keren dan profesional,5
gausah sok sokan tokopedia x tiktokshop,1
aplikasinya bagus ♥️,5
"Update : Makin kecewa, di sisi sebagai seller makin naik adminnya yang otomatis dipaksa naikin harga & susah bersaing sama toko lain Di sisi buyer, ini makin ga nyaman, tiap mau checkout/yang lain seringkali terjadi bug/dibatalkan mendadak, ini annoying banget sih Update lagi: Makin kecewa lagi karena customer yang masih loyal dengan segala kekurangan yang ada malah ga dikasih voucher gede🙂 yang jarang belanja malah dapet ini pas 10.10 Sistem lu gimana sih ped🙂",1
kenapa saya tidak bisa masuk akun saya,1
"Saya beli barang di tokped di cancel penjual gara gara saya beli pakai voucher 500 ribu, dana kembali tp voucher hangus, padahal kan blm di pakai, chat toko hanya minta maaf, chat cs tokopedia ga ada jawaban, kecewa berat, lebih baik saya hapus dan pakai shoppe, cs shoppe nya tanggap, voucher klo di cancel pun kembali, payah tokopedia",1
"Ekspedisinya busukk, ga kayak apk sebelah. Gatau aku yang apes apa gimana tapi udah lebih dari 2 kali dapat kurir yang ga ramah, jadi males mau chekout disini klo diantarnya marah-marah. Mau complain ke seller jg dia mana tau menau, mending balik ke apk sebelah yang ekspedisinya bisa dipilih sendiri. Sekedar saran, buyer kasih pilihan dong mau pakai ekspedisi apa karna di tiap kota itu tiap ekspedisi beda ke toxic-annya, trs tambahin penilaian kurir & pengiriman biar pihak buyer jg nyaman",3
ok,5
"Saya sudah membeli 2 barang yang anda suruh untuk mendapatkan voucher 500rb, dan setelah membeli muncul gambar ""selamat anda mendapatkan voucher 500rb"" tapi nyatanya saya tidak mendapatkan voucher sama sekali. Saya mendapatkan ticket untuk masalah ini tapi Team Tokopedia sangat lama responnya menurut saya sengaja untuk menghabiskan masa voucher nya, Saya merasa ditipu padahal saya sudah melihat S&K. Saya sangat kecewa dengan Tokopedia janganlah menipu!!",1
mudah dalam bertransaksi,5
diskripsi produk tidak lengkap..mau beli jari2 pelek tidak ada ukuran panjangnya...chat penjual tidak di respon...membuat susah pembeli,1
baik,4
Aplikasi ini mulai ada perbaikan,5
pengiriman lama,1
tokopedia carenya blas nda ngebantu sama sekali..... mau tanya soal pengembalian dana udah antri chat lama malah di cuekin... bgst emang...,1
"kemahalan di ongkos ,",2
saya gx pernah instal aplikasi ko dapat wA kode Verifikasi sya sapii klo ad yg gunakn data sya gx nanggung apapun itu...,1
"Gimana sih Tokped barang yang dikirim gak sesuai banget, order cd 12 pcs malah dikirim 6pcs🥲Toko nya juga gak bertanggung jawab hmmmmmmm. Tolong dong di perbaiki🙏🏻",1
"saya mengalami penipuan saat belanja diaplikasi ini ,tapi pihak tokopedia seperti tidak merespon atau peduli dengan komplenan saya ,sejak 6 oktober sampai dengan saat ini proses retur masih blom ada perkembangan.",1
bagus,4
terimakasih sudah merekomendasikan toko yang amanah dengan harga dibawah standar resmi nya,5
puas belanja di tokped,5
cs servis nya ga ada yg bisa d hubungi,1
soalnya tidak ada yang datang,1
padahal jaringan saya bagus tapi kok saat saya ingin mengganti metode pembayaran nya loading nya lama sekali!!,1
proses cepat,5
bagus dan bermanfaat aplikasinya hatur nuhun 🙏,5
Semenjak join tiktok tokopedia selalu lambat akses ke halaman. Jadi malas,1
luar biasa,5
"jangan suka berbohong kpd publik dgn giveaway untungberuntung diapp mau sosmed settingan team admin loee yg pada kurang berpendidikan profesional itu,rata2 baru tamatan sekolah sudah toped pekerjaan sbgai team Ga/event hny orang kampung aja yg percaya ga event loe adakan dimedsos ato diapp itu sendiri.aku saran utk mencari pemenang sistem random, komen filter dll bkn team loe yg BEGO itu yg memili lsg pemenang hny publik kampung yg percaya.klo.publik kota 👎👎👎",1
overall tokped bagus banget nggak ribet barang yang di beli juga terjamin bagus,5
apk gaje mau beli barang harganya 10¹⁰x 360⁰ gak ngotak mahal bet,1
good girl,5
aplikasi langganan sudah dari awal,5
"cs Tokopedia sulit respon,",1
"saya turunkan bintang, karena saat saya bertanya tentang kendala melalui support jawaban terlalu banyak BOT bukan manusia,jadi terlalu lambat dalam merespon permasalahan dlm transaksi ditokopedia,tingkat kepercayaan dan ketenangan dalam bertransaksi adalah.. pelayanan chat support ketika ada masalah sistem ataupun transaksi.ayoo bangkit Tokopedia agar selalu menjadi terdepan....",1
proses cepat dan aman,5
sangat sangat baik,5
"Fitur² tokopedia sekarang banyak yang gak berfungsi normal. Seperti pencarian di whishlist, gak bisa memunculkan semuanya. Filter barang tidak tersedia di whishlist juga yang muncul termasuk yang stoknya masih ada.",2
mantap promo menguncang nya,5
Skrang ga bisa pembayran pake coins 🤔,1
paling maless muncul iklan truss. mana udah di uninstall udah di hampus. masih aja muncul iklan. knapa yaa bisa gtu. cara hilanginnya gimana ???,1
simple & cepat.,5
bagus,5
udah bayar gak ke verif pula anjir,2
"plis dibenerin sistem notifikasinya, tiap hari berapa menit sekali ada notif ga penting, sangat menggangu, sudah dimatikan pengaturan notifikasi promo jg gak bisa, harus bener2 mati notifikasi dari tokopedia baru bisa hilang",1
PELIT PROMO TAI,1
Toppp dehhh pokokny,5
mantap,5
Gila,1
Mau sambungin akun gopay ke tokped tapi nomor mati tinggal ada nomor WA nya doank. Kirain ada pilihan WA nya. Jadi ga bisa sambungin deh.,1
good,5
kalau kasih diskon jangan pilih kasih harus merata,1
app ga jelas.,1
top,5
tokomedia bagus bangat sesui dengan pesenan matap,5
Aplikasi belanja dengan sistem Complain paling Tolol yang saya tau . sudah jelas jelas barang yang saya pesan itu Scam dan saya menuntut pengembalian uang . tapi masih menunggu persetujuan penjual ya aneh .masa iya penipu mau berbaik hati mengembalikan uang .kan Kocak,1
jos,5
"kecewa banget, barang tidak diterima, hanya kemasan kosong, tp dinyatakan sampai, karena kemasannya sampai. untuk pengembalian dana, sy harus kirim ulang barangnya, kan aneh, sy yg dirugikan krn beli barang tp ga ada, tp saya harus tanggung lagi ongkir buat balikin tu kemasan sampah",1
"ada tulisan vocer potongan harga, ternyata emang harganya segitu vocer hoax .",1
sangat puas,5
"Ini kok baru masuk tokped udah disuguhi konten barang gak pantas? mana baru buat akun aja barangnya nyeleneh lagi. tolong dong berhentikan perjual belikan baju/barang tak senonoh,mata saya tercemar ini🤓 ane mau belanja,bukan cari dosa🤓",2
baik,5
Gokill,5
semoga kasih bintang layanan mantap,5
